Date,GLD,SPY,TLT
2007-07-13,66.03,118.09772,56.122437
2007-07-16,65.82,118.08246,56.661945
2007-07-17,65.75,118.02145,56.542053
2007-07-18,66.62,117.8079,56.75519
2007-07-19,67.01,118.2655,56.741875
2007-07-20,67.58,117.06812,57.25474
2007-07-23,67.47,117.426575,57.16149
2007-07-24,67.47,115.390274,57.37463
2007-07-25,66.9,115.62669,57.48786
2007-07-26,65.65,112.888756,57.967426
2007-07-27,65.41,110.66942,58.13394
2007-07-30,65.77,112.40066,57.967426
2007-07-31,65.79,111.134636,58.38705
2007-08-01,65.93,111.67612,58.26067
2007-08-02,65.89,112.56844,58.407776
2007-08-03,66.69,109.670334,58.795605
2007-08-06,66.52,111.50835,58.367657
2007-08-07,66.48,112.69809,58.32085
2007-08-08,66.77,114.269165,57.612072
2007-08-09,65.46,110.88296,57.692307
2007-08-10,66.57,110.36436,57.558575
2007-08-13,66.26,110.76093,57.725742
2007-08-14,66.29,109.067825,57.87953
2007-08-15,66.13,107.56539,57.67225
2007-08-16,64.68,108.37382,58.267357
2007-08-17,65.01,110.36436,58.033325
2007-08-20,65.12,110.31097,58.066757
2007-08-21,65.07,110.53213,58.3476
2007-08-22,65.4,111.8439,58.253986
2007-08-23,65.31,111.74477,58.454582
2007-08-24,66.11,113.125175,58.742107
2007-08-27,65.98,112.07271,59.049694
2007-08-28,65.59,109.60932,59.149994
2007-08-29,66.07,111.76001,58.989517
2007-08-30,65.8,111.46258,59.384026
2007-08-31,66.52,112.56081,59.430832
2007-09-04,67.44,113.697174,59.45903
2007-09-05,67.56,112.71333,59.935722
2007-09-06,68.86,112.97265,59.781303
2007-09-07,69.39,111.40157,60.627266
2007-09-10,69.62,111.18802,61.097244
2007-09-11,70.52,112.48455,61.050247
2007-09-12,70.46,112.77435,60.821968
2007-09-13,70.08,113.56752,60.278137
2007-09-14,69.99,113.55988,60.36542
2007-09-17,70.97,112.94977,60.654118
2007-09-18,71.7,116.27496,60.19757
2007-09-19,71.43,116.96135,59.640312
2007-09-20,72.72,116.13768,58.51236
2007-09-21,72.34,116.45087,59.009193
2007-09-24,72.28,116.23631,59.177044
2007-09-25,72.33,116.006424,58.968914
2007-09-26,72.0,116.619446,59.022625
2007-09-27,72.7,117.30909,59.432175
2007-09-28,73.51,116.9183,59.566456
2007-10-01,73.9,118.23629,59.90683
2007-10-02,72.35,118.07536,60.095562
2007-10-03,71.9,117.83782,59.920315
2007-10-04,72.87,118.02173,60.14948
2007-10-05,73.4,119.42402,59.502422
2007-10-08,72.53,118.78801,59.45524
2007-10-09,73.09,119.90676,59.381096
2007-10-10,73.36,119.707535,59.4148
2007-10-11,73.91,119.13283,59.354137
2007-10-12,74.59,119.791824,59.06431
2007-10-15,75.14,118.780334,59.07779
2007-10-16,75.12,117.83782,59.09801
2007-10-17,74.5,118.197975,59.745068
2007-10-18,76.0,117.76886,60.075336
2007-10-19,75.7,114.68843,60.971783
2007-10-22,74.6,115.35509,60.978523
2007-10-23,75.23,116.28994,60.89764
2007-10-24,75.52,116.075386,61.34923
2007-10-25,76.03,116.35124,61.14029
2007-10-26,77.69,117.71522,60.998745
2007-10-29,78.12,118.106026,61.23465
2007-10-30,77.35,117.2861,61.20095
2007-10-31,78.62,118.50448,60.64826
2007-11-01,77.93,115.73057,61.436268
2007-11-02,79.83,115.86083,61.63259
2007-11-05,79.75,114.979614,61.60551
2007-11-06,81.43,116.5275,61.307636
2007-11-07,82.24,113.33979,61.409187
2007-11-08,82.23,112.76508,61.307636
2007-11-09,82.18,111.2172,61.82892
2007-11-12,78.3,110.11376,62.052322
2007-11-13,79.12,113.462395,61.754448
2007-11-14,80.28,113.155876,61.889843
2007-11-15,77.95,111.52371,62.47205
2007-11-16,77.75,111.71528,62.560062
2007-11-19,77.24,110.15974,62.96625
2007-11-20,79.47,110.83407,62.898552
2007-11-21,79.36,108.56589,63.264122
2007-11-23,81.25,110.44327,63.453682
2007-11-26,81.3,108.00651,64.7061
2007-11-27,80.1,109.24788,64.09004
2007-11-28,79.57,112.742096,63.656773
2007-11-29,78.28,112.7804,64.205124
2007-11-30,77.32,113.9145,63.893715
2007-12-03,78.28,113.163536,64.400764
2007-12-04,79.4,112.15206,64.39397
2007-12-05,78.63,114.029434,63.625916
2007-12-06,79.37,115.661606,63.06857
2007-12-07,78.6,115.63862,62.36169
2007-12-10,80.0,116.53516,61.987858
2007-12-11,78.84,113.33979,63.204506
2007-12-12,80.49,114.45854,62.552002
2007-12-13,78.5,114.221,61.87231
2007-12-14,78.52,112.77274,61.58684
2007-12-17,78.13,111.16357,62.13739
2007-12-18,79.25,111.78425,62.53841
2007-12-19,79.24,111.78425,63.367634
2007-12-20,78.67,112.48922,63.231693
2007-12-21,80.1,114.111115,62.307312
2007-12-24,80.14,114.95849,62.015045
2007-12-26,81.52,115.205,61.471294
2007-12-27,81.56,113.75675,62.14143
2007-12-28,83.0,113.471725,63.110474
2007-12-31,82.46,112.63206,63.49263
2008-01-02,84.86,111.646,64.407074
2008-01-03,85.57,111.59209,64.31836
2008-01-04,85.13,108.85736,64.33201
2008-01-07,84.77,108.76492,64.6118
2008-01-08,86.78,107.00854,64.536736
2008-01-09,86.5499,108.13324,64.57086
2008-01-10,88.25,108.84195,63.78607
2008-01-11,88.58,107.96376,64.28424
2008-01-14,89.5399,108.83425,64.523094
2008-01-15,87.99,106.438484,65.24646
2008-01-16,86.7,105.52177,64.77558
2008-01-17,86.5001,102.78704,65.61497
2008-01-18,87.42,101.731674,65.164566
2008-01-22,88.1699,100.69942,65.86064
2008-01-23,87.89,103.1183,65.73098
2008-01-24,90.08,103.98879,64.393425
2008-01-25,90.3,102.48661,65.47848
2008-01-28,91.75,104.18138,65.2328
2008-01-29,91.15,104.69751,64.78924
2008-01-30,92.06,103.92716,64.366135
2008-01-31,91.4,105.822205,64.82336
2008-02-01,89.3499,107.524666,65.213005
2008-02-04,89.1,106.16887,64.5419
2008-02-05,87.68,103.326294,65.03496
2008-02-06,88.9499,102.49432,64.836365
2008-02-07,89.85,103.17222,63.439384
2008-02-08,91.0,102.509735,64.16526
2008-02-11,91.33,103.03356,64.432335
2008-02-12,89.33,103.98879,64.04885
2008-02-13,89.44,105.05186,63.370903
2008-02-14,89.71,104.12745,62.48752
2008-02-15,89.15,104.10434,62.918938
2008-02-19,91.58,104.39707,62.282078
2008-02-20,93.24,104.70521,62.7135
2008-02-21,93.25,103.83472,63.377754
2008-02-22,93.39,104.4741,63.01481
2008-02-25,92.74,105.7914,62.371105
2008-02-26,93.71,106.58485,62.391647
2008-02-27,94.78,106.477,62.446434
2008-02-28,95.99,105.437035,63.555798
2008-02-29,96.18,103.087494,64.528206
2008-03-03,97.24,102.84097,64.36188
2008-03-04,95.18,102.448105,63.73641
2008-03-05,97.72,103.09519,62.973465
2008-03-06,96.5,100.961334,63.310257
2008-03-07,96.09,99.92137,63.392742
2008-03-10,95.87,98.60408,64.32751
2008-03-11,95.99,102.14767,63.777645
2008-03-12,97.01,101.19244,65.00797
2008-03-13,98.34,101.41583,64.499344
2008-03-14,98.71,99.84434,65.29665
2008-03-17,99.17,98.83518,65.79841
2008-03-18,96.5,102.941124,65.54409
2008-03-19,93.04,100.39128,66.63008
2008-03-20,89.91,102.25078,66.79504
2008-03-24,90.1001,104.29455,65.50285
2008-03-25,92.73,104.395195,65.77778
2008-03-26,93.8,103.11783,65.50285
2008-03-27,93.46,102.79268,65.042336
2008-03-28,91.88,101.8095,65.67468
2008-03-31,90.41,102.16562,65.90838
2008-04-01,86.8599,105.757706,64.83572
2008-04-02,89.27,105.82738,64.97377
2008-04-03,89.42,106.09059,65.11872
2008-04-04,90.25,105.97447,65.71234
2008-04-07,91.17,106.02867,65.36721
2008-04-08,90.35,105.92029,65.139435
2008-04-09,92.29,105.15387,65.81588
2008-04-10,91.77,105.30096,65.595
2008-04-11,91.3,103.25718,66.03676
2008-04-14,91.11,102.9088,65.65022
2008-04-15,91.66,103.1488,64.83572
2008-04-16,93.27,105.94351,64.20068
2008-04-17,92.56,106.09834,64.09024
2008-04-18,90.62,107.20538,64.03502
2008-04-21,90.25,107.259575,64.29041
2008-04-22,90.27,106.78734,64.5113
2008-04-23,89.22,106.61703,64.29732
2008-04-24,87.22,107.08152,63.752018
2008-04-25,87.27,108.07245,63.37928
2008-04-28,87.69,108.09567,63.572548
2008-04-29,85.81,107.669876,63.814137
2008-04-30,86.65,107.035065,64.26971
2008-05-01,83.99,109.24915,64.27412
2008-05-02,84.58,109.55108,63.46359
2008-05-05,86.27,109.02466,63.46359
2008-05-06,86.63,109.96913,63.006367
2008-05-07,85.82,108.01051,63.276543
2008-05-08,87.24,107.73181,63.84461
2008-05-09,87.42,107.530525,64.08015
2008-05-12,86.99,108.73822,63.98316
2008-05-13,85.3901,108.75369,63.28347
2008-05-14,85.2,108.97821,63.311184
2008-05-15,87.0,110.34072,63.886173
2008-05-16,89.1001,110.44137,63.62292
2008-05-19,89.39,110.743286,63.706055
2008-05-20,90.9,109.84526,64.03858
2008-05-21,91.96,107.98729,64.05244
2008-05-22,90.98,108.00276,63.29733
2008-05-23,91.23,106.55509,63.57443
2008-05-27,89.36,107.344734,63.14492
2008-05-28,89.14,107.840195,62.583786
2008-05-29,86.51,108.3821,62.133495
2008-05-30,87.45,108.65306,62.54222
2008-06-02,87.96,107.530525,62.783485
2008-06-03,86.88,106.90346,63.235413
2008-06-04,86.65,106.84927,62.672237
2008-06-05,86.45,108.98595,62.29679
2008-06-06,89.06,105.50997,63.103313
2008-06-09,87.987,105.76545,63.103313
2008-06-10,85.55,105.23902,62.693096
2008-06-11,87.02,103.69071,62.54709
2008-06-12,85.6,104.085526,61.92134
2008-06-13,85.83,105.40159,61.78924
2008-06-16,87.01,105.463524,61.803143
2008-06-17,87.25,104.95259,61.928295
2008-06-18,88.28,103.930695,62.449753
2008-06-19,88.42,104.0623,62.081257
2008-06-20,88.95,102.37337,62.4428
2008-06-23,87.09,102.27222,62.5749
2008-06-24,87.47,102.06993,62.992065
2008-06-25,87.42,102.55231,63.01988
2008-06-26,90.61,99.76696,63.443996
2008-06-27,91.47,99.222336,64.18794
2008-06-30,91.4,99.57246,64.20184
2008-07-01,92.66,99.88367,64.04973
2008-07-02,93.17,98.172,64.38467
2008-07-03,92.06,98.27314,64.24511
2008-07-07,91.23,97.26948,64.53818
2008-07-08,90.86,98.996704,64.95685
2008-07-09,91.5,97.09053,65.24294
2008-07-10,93.53,97.48733,65.23596
2008-07-11,95.16,96.3514,64.307915
2008-07-14,95.91,95.48001,64.873116
2008-07-15,96.17,94.13401,64.85219
2008-07-16,94.44,96.44476,63.679905
2008-07-17,94.22,97.40952,63.351948
2008-07-18,94.17,98.016396,63.114697
2008-07-21,95.12,98.070854,63.358925
2008-07-22,93.06,99.18344,63.044918
2008-07-23,90.57,99.720276,62.919315
2008-07-24,91.33,97.65072,63.53337
2008-07-25,91.69,97.62737,62.898384
2008-07-28,91.73,96.19579,63.53337
2008-07-29,90.59,98.2498,63.27519
2008-07-30,89.52,100.00037,63.337986
2008-07-31,90.08,98.67772,63.965996
2008-08-01,89.57,98.15644,64.1078
2008-08-04,88.14,97.24614,63.960735
2008-08-05,86.08,99.8681,63.484512
2008-08-06,86.64,100.31158,63.22539
2008-08-07,86.09,98.817764,64.25487
2008-08-08,84.43,100.653915,64.42995
2008-08-11,81.13,101.69648,63.813667
2008-08-12,80.52,100.63836,64.40894
2008-08-13,81.56,100.031494,64.18484
2008-08-14,79.35,100.78618,64.59803
2008-08-15,77.63,101.27634,65.15829
2008-08-18,78.8,99.89144,65.41741
2008-08-19,80.433,98.8022,65.16529
2008-08-20,80.06,99.26124,65.347374
2008-08-21,82.3,99.43241,65.228325
2008-08-22,81.08,100.87176,65.1863
2008-08-25,80.93,98.82554,65.83761
2008-08-26,81.23,99.11341,65.89363
2008-08-27,81.36,100.07818,66.005684
2008-08-28,82.18,101.2919,66.01269
2008-08-29,81.71,100.20265,65.718544
2008-09-02,79.2,99.58023,66.330055
2008-09-03,78.89,99.494644,66.6112
2008-09-04,78.39,96.49923,67.145386
2008-09-05,78.98,96.80266,67.110245
2008-09-08,78.86,98.8022,67.39139
2008-09-09,76.49,95.869026,68.05912
2008-09-10,74.22,96.25804,67.6374
2008-09-11,73.08,97.65072,67.60225
2008-09-12,75.55,98.10197,66.73069
2008-09-15,77.56,93.433784,68.89553
2008-09-16,76.79,94.99763,68.88148
2008-09-17,85.46,90.726234,69.22588
2008-09-18,82.8,93.41822,68.21375
2008-09-19,85.98,97.12816,66.048904
2008-09-22,89.18,94.92924,66.04187
2008-09-23,88.32,92.76945,65.78884
2008-09-24,86.71,93.0668,66.07702
2008-09-25,86.45,94.522316,65.943474
2008-09-26,86.64,94.56927,66.421425
2008-09-29,89.57,87.15867,68.354324
2008-09-30,85.07,90.76615,66.688515
2008-10-01,85.97,90.82093,67.5275
